wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
375.92,1.091355,0.0022718
376.37,1.141987,0.0022592
376.82,1.186335,0.0022465
377.28,1.228823,0.0022334
377.73,1.253667,0.003109
378.19,1.260968,0.0030909
378.65,1.257542,0.0030725
379.11,1.242654,0.0030538
379.57,1.22001,0.0030348
380.04,1.191762,0.0030151
380.51,1.157847,0.002995
380.98,1.109596,0.0029747
381.45,1.04905,0.002954
381.92,0.9827502,0.0029331
382.39,0.9277966,0.0029118
382.87,0.8876205,0.0028898
383.35,0.8651778,0.0028674
383.83,0.8674772,0.0028447
384.31,0.8985039,0.0028217
384.8,0.9373176,0.0027979
385.28,0.9687281,0.0027743
385.77,0.9912859,0.0027498
386.26,1.005433,0.0027249
386.76,1.014847,0.0026993
387.25,1.020421,0.0026738
387.75,1.03254,0.0026477
388.25,1.053123,0.002622
388.75,1.088332,0.002597
389.25,1.132938,0.0025727
389.76,1.177846,0.0025485
390.26,1.206725,0.0025255
390.77,1.204475,0.0025026
391.29,1.173779,0.0024801
391.8,1.12057,0.0024586
392.32,1.053355,0.0024374
392.84,0.9946196,0.0024169
393.36,0.9637688,0.0023971
393.88,0.9626742,0.002378
394.4,0.9744824,0.0023596
394.93,0.9948038,0.0023416
395.46,1.023304,0.0023243
395.99,1.050102,0.0023078
396.53,1.079622,0.0022916
397.07,1.124329,0.0022763
397.61,1.203863,0.0022617
398.15,1.30194,0.0022478
398.69,1.406367,0.0022347
399.24,1.512228,0.0022221
399.79,1.607154,0.0022104
400.34,1.677091,0.0022672
400.89,1.714119,0.0022564
401.45,1.738949,0.0022463
402.01,1.747294,0.002237
402.57,1.748846,0.0022287
403.13,1.742465,0.0022213
403.7,1.728544,0.0022147
404.27,1.713869,0.002209
404.84,1.69504,0.0022042
405.41,1.682544,0.0022004
405.99,1.675327,0.0021974
406.57,1.68078,0.0021954
407.15,1.684229,0.0021944
407.74,1.688115,0.0021944
408.33,1.697715,0.0021953
408.92,1.710727,0.0021973
409.51,1.719243,0.0022002
410.11,1.723639,0.0022042
410.7,1.735165,0.0022092
411.31,1.756399,0.0022154
411.91,1.770802,0.0022225
412.52,1.778656,0.0022308
413.13,1.787328,0.0022401
413.74,1.799393,0.0022506
414.36,1.799684,0.0022623
414.98,1.792656,0.0022751
415.6,1.786944,0.002289
416.22,1.783357,0.002304
416.85,1.77458,0.0023203
417.48,1.760239,0.0023378
418.11,1.75469,0.0023565
418.75,1.753643,0.0023764
419.39,1.751814,0.0023961
420.04,1.74938,0.0024155
420.68,1.75106,0.002434
421.33,1.755449,0.0024522
421.98,1.748296,0.0024697
