time (Julian Date),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),
2452788,349.66,0.9687223,0.0029303,
2452788,350.01,0.9894692,0.0029062,
2452788,350.36,1.013398,0.0028832,
2452788,350.72,1.021267,0.0028606,
2452788,351.08,1.015548,0.0028392,
2452788,351.43,1.008812,0.0028194,
2452788,351.79,1.003022,0.0028001,
2452788,352.15,0.9943154,0.0027819,
2452788,352.52,0.9911693,0.0027644,
2452788,352.88,1.005343,0.0027485,
2452788,353.24,1.033845,0.0027337,
2452788,353.61,1.061956,0.0027196,
2452788,353.98,1.082919,0.0027068,
2452788,354.34,1.101283,0.0026954,
2452788,354.71,1.110974,0.0026848,
2452788,355.08,1.0986,0.0026755,
2452788,355.46,1.069213,0.0026671,
2452788,355.83,1.036256,0.0026601,
2452788,356.2,0.998229,0.0026543,
2452788,356.58,0.9482483,0.0026494,
2452788,356.96,0.894631,0.0026449,
2452788,357.34,0.8580404,0.0026404,
2452788,357.72,0.8389967,0.0026358,
2452788,358.1,0.8335256,0.0026311,
2452788,358.48,0.8460609,0.0026262,
2452788,358.86,0.8785492,0.0026212,
2452788,359.25,0.9200411,0.0026159,
2452788,359.64,0.9576065,0.0026105,
2452788,360.03,0.9782334,0.002605,
2452788,360.42,0.9832025,0.0025994,
2452788,360.81,0.9839801,0.0025936,
2452788,361.2,0.982223,0.0025877,
2452788,361.59,0.9763199,0.0025817,
2452788,361.99,0.9779596,0.0025754,
2452788,362.39,0.9927398,0.002569,
2452788,362.79,1.012801,0.0025624,
2452788,363.19,1.022769,0.0025557,
2452788,363.59,1.035673,0.0025488,
2452788,363.99,1.058919,0.0025419,
2452788,364.39,1.082312,0.0025347,
2452788,364.8,1.103449,0.0025273,
2452788,365.21,1.134657,0.0025197,
2452788,365.62,1.17708,0.002512,
2452788,366.03,1.205175,0.0025042,
2452788,366.44,1.217685,0.0024962,
2452788,366.85,1.220997,0.002488,
2452788,367.27,1.220775,0.0024795,
2452788,367.69,1.214164,0.0024709,
2452788,368.1,1.208303,0.0024623,
2452788,368.52,1.203672,0.0024534,
2452788,368.95,1.2034,0.0024441,
2452788,369.37,1.215037,0.0024349,
2452788,369.79,1.223864,0.0024255,
2452788,370.22,1.217232,0.0024157,
2452788,370.65,1.204891,0.0024058,
2452788,371.08,1.193755,0.0023958,
2452788,371.51,1.170146,0.0023856,
2452788,371.94,1.131446,0.0023752,
2452788,372.38,1.091952,0.0023644,
2452788,372.81,1.054925,0.0023537,
2452788,373.25,1.022506,0.0023426,
2452788,373.69,0.9960161,0.0023313,
2452788,374.13,0.9862144,0.0023199,
2452788,374.58,0.9918059,0.0023081,
2452788,375.02,1.00828,0.0022963,
2452788,375.47,1.044123,0.0022841,
2452788,375.92,1.091355,0.0022718,
2452788,376.37,1.141987,0.0022592,
2452788,376.82,1.186335,0.0022465,
2452788,377.28,1.228823,0.0022334,
2452788,377.73,1.253667,0.003109,
2452788,378.19,1.260968,0.0030909,
2452788,378.65,1.257542,0.0030725,
2452788,379.11,1.242654,0.0030538,
2452788,379.57,1.22001,0.0030348,
2452788,380.04,1.191762,0.0030151,
2452788,380.51,1.157847,0.002995,
2452788,380.98,1.109596,0.0029747,
2452788,381.45,1.04905,0.002954,
2452788,381.92,0.9827502,0.0029331,
2452788,382.39,0.9277966,0.0029118,
2452788,382.87,0.8876205,0.0028898,
2452788,383.35,0.8651778,0.0028674,
2452788,383.83,0.8674772,0.0028447,
2452788,384.31,0.8985039,0.0028217,
2452788,384.8,0.9373176,0.0027979,
2452788,385.28,0.9687281,0.0027743,
2452788,385.77,0.9912859,0.0027498,
2452788,386.26,1.005433,0.0027249,
2452788,386.76,1.014847,0.0026993,
2452788,387.25,1.020421,0.0026738,
2452788,387.75,1.03254,0.0026477,
2452788,388.25,1.053123,0.002622,
2452788,388.75,1.088332,0.002597,
2452788,389.25,1.132938,0.0025727,
2452788,389.76,1.177846,0.0025485,
2452788,390.26,1.206725,0.0025255,
2452788,390.77,1.204475,0.0025026,
2452788,391.29,1.173779,0.0024801,
2452788,391.8,1.12057,0.0024586,
2452788,392.32,1.053355,0.0024374,
2452788,392.84,0.9946196,0.0024169,
2452788,393.36,0.9637688,0.0023971,
2452788,393.88,0.9626742,0.002378,
2452788,394.4,0.9744824,0.0023596,
2452788,394.93,0.9948038,0.0023416,
2452788,395.46,1.023304,0.0023243,
2452788,395.99,1.050102,0.0023078,
2452788,396.53,1.079622,0.0022916,
2452788,397.07,1.124329,0.0022763,
2452788,397.61,1.203863,0.0022617,
2452788,398.15,1.30194,0.0022478,
2452788,398.69,1.406367,0.0022347,
2452788,399.24,1.512228,0.0022221,
2452788,399.79,1.607154,0.0022104,
,,,,
,,,,64
